%MEM   RSS
%MEM   RSS
81.4 2430832
%MEM   RSS
81.4 2430016
%MEM   RSS
81.8 2440496
%MEM   RSS
81.8 2441028
%MEM   RSS
81.4 2429104
%MEM   RSS
81.7 2439480
%MEM   RSS
81.7 2437952
%MEM   RSS
81.6 2434720
%MEM   RSS
81.5 2432792
%MEM   RSS
81.5 2432744
%MEM   RSS
81.2 2423212
%MEM   RSS
81.6 2434624
%MEM   RSS
81.5 2432044
%MEM   RSS
81.1 2420144
%MEM   RSS
81.4 2430120
%MEM   RSS
81.8 2440848
%MEM   RSS
81.7 2438264
%MEM   RSS
81.6 2436256
%MEM   RSS
81.6 2434244
%MEM   RSS
81.4 2430940
%MEM   RSS
81.8 2442928
%MEM   RSS
81.9 2443188
%MEM   RSS
81.5 2433280
%MEM   RSS
81.7 2438216
%MEM   RSS
81.6 2434440
%MEM   RSS
81.5 2431408
%MEM   RSS
81.9 2443608
%MEM   RSS
81.8 2440256
%MEM   RSS
81.7 2438568
%MEM   RSS
81.6 2434984
%MEM   RSS
81.5 2432192
%MEM   RSS
81.9 2443728
%MEM   RSS
81.8 2442008
%MEM   RSS
81.7 2439428
%MEM   RSS
81.6 2437012
%MEM   RSS
81.6 2434972
%MEM   RSS
81.4 2430728
%MEM   RSS
81.5 2432228
%MEM   RSS
81.9 2443324
%MEM   RSS
81.7 2439372
%MEM   RSS
81.6 2435680
%MEM   RSS
81.5 2433036
%MEM   RSS
81.4 2429844
%MEM   RSS
81.3 2426404
%MEM   RSS
81.5 2432620
%MEM   RSS
81.6 2434796
%MEM   RSS
81.5 2432636
%MEM   RSS
81.4 2429188
%MEM   RSS
81.1 2419528
%MEM   RSS
81.4 2431184
%MEM   RSS
81.2 2423620
%MEM   RSS
81.6 2434488
%MEM   RSS
81.4 2431088
%MEM   RSS
80.9 2416180
%MEM   RSS
81.0 2416540
%MEM   RSS
81.3 2427556
%MEM   RSS
81.3 2426364
%MEM   RSS
81.6 2437116
%MEM   RSS
81.6 2434572
%MEM   RSS
81.5 2432080
%MEM   RSS
81.8 2442520
%MEM   RSS
81.7 2437676
%MEM   RSS
81.7 2437800
%MEM   RSS
81.3 2426972
%MEM   RSS
81.5 2431700
%MEM   RSS
81.5 2432464
%MEM   RSS
81.7 2438644
%MEM   RSS
81.6 2436288
%MEM   RSS
81.5 2431672
%MEM   RSS
81.4 2430740
%MEM   RSS
81.8 2442432
%MEM   RSS
81.7 2438928
%MEM   RSS
81.6 2436328
%MEM   RSS
81.5 2432504
%MEM   RSS
81.7 2437716
%MEM   RSS
81.8 2442796
%MEM   RSS
81.7 2440056
%MEM   RSS
81.9 2445784
%MEM   RSS
81.7 2438112
%MEM   RSS
81.3 2426428
%MEM   RSS
81.4 2431092
%MEM   RSS
81.4 2430200
%MEM   RSS
81.3 2427804
%MEM   RSS
81.2 2424136
%MEM   RSS
81.3 2425508
%MEM   RSS
81.6 2434572
%MEM   RSS
81.6 2434508
%MEM   RSS
81.5 2431296
%MEM   RSS
81.4 2429460
%MEM   RSS
81.8 2441060
%MEM   RSS
81.6 2437064
%MEM   RSS
81.6 2436348
%MEM   RSS
81.6 2434436
%MEM   RSS
81.4 2429036
%MEM   RSS
81.7 2439648
%MEM   RSS
81.6 2436864
%MEM   RSS
81.6 2435340
%MEM   RSS
81.5 2434028
%MEM   RSS
